LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,26-Feb-2020 00:27:54,0                 
Time,Ampl
-9.960105e-006,-1.60583
-9.959855e-006,-1.6025
-9.959605e-006,-1.6025
-9.959355e-006,-1.6025
-9.959105e-006,-1.60583
-9.958855e-006,-1.6025
-9.958605e-006,-1.6025
-9.958355e-006,-1.6025
-9.958105e-006,-1.60583
-9.957855e-006,-1.6025
-9.957605e-006,-1.6025
-9.957355e-006,-1.6025
-9.957105e-006,-1.60583
-9.956855e-006,-1.6025
-9.956605e-006,-1.6025
-9.956355e-006,-1.6025
-9.956105e-006,-1.60583
-9.955855e-006,-1.6025
-9.955605e-006,-1.6025
-9.955355e-006,-1.6025
-9.955105e-006,-1.60583
-9.954855e-006,-1.6025
-9.954605e-006,-1.6025
-9.954355e-006,-1.6025
-9.954105e-006,-1.60583
-9.953855e-006,-1.6025
-9.953605e-006,-1.6025
-9.953355e-006,-1.6025
-9.953105e-006,-1.60583
-9.952855e-006,-1.6025
-9.952605e-006,-1.6025
-9.952355e-006,-1.6025
-9.952105e-006,-1.60583
-9.951855e-006,-1.6025
-9.951605e-006,-1.6025
-9.951355e-006,-1.6025
-9.951105e-006,-1.60583
-9.950855e-006,-1.6025
-9.950605e-006,-1.6025
-9.950355e-006,-1.6025
-9.950105e-006,-1.60583
-9.949855e-006,-1.6025
-9.949605e-006,-1.6025
-9.949355e-006,-1.6025
-9.949105e-006,-1.60583
-9.948855e-006,-1.6025
-9.948605e-006,-1.6025
-9.948355e-006,-1.6025
-9.948105e-006,-1.60583
-9.947855e-006,-1.6025
-9.947605e-006,-1.6025
-9.947355e-006,-1.6025
-9.947105e-006,-1.60583
-9.946855e-006,-1.6025
-9.946605e-006,-1.6025
-9.946355e-006,-1.6025
-9.946105e-006,-1.60583
-9.945855e-006,-1.6025
-9.945605e-006,-1.6025
-9.945355e-006,-1.6025
-9.945105e-006,-1.6025
-9.944855e-006,-1.6025
-9.944605e-006,-1.6025
-9.944355e-006,-1.6025
-9.944105e-006,-1.6025
-9.943855e-006,-1.6025
-9.943605e-006,-1.60583
-9.943355e-006,-1.6025
-9.943105e-006,-1.6025
-9.942855e-006,-1.6025
-9.942605e-006,-1.6025
-9.942355e-006,-1.6025
-9.942105e-006,-1.6025
-9.941855e-006,-1.6025
-9.941605e-006,-1.6025
-9.941355e-006,-1.6025
-9.941105e-006,-1.6025
-9.940855e-006,-1.6025
-9.940605e-006,-1.6025
-9.940355e-006,-1.6025
-9.940105e-006,-1.6025
-9.939855e-006,-1.6025
-9.939605e-006,-1.6025
-9.939355e-006,-1.6025
-9.939105e-006,-1.6025
-9.938855e-006,-1.6025
-9.938605e-006,-1.6025
-9.938355e-006,-1.6025
